City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,sterling,39.0062,-77.4286,302.86,69,75,3.6,US,2024-09-01
203,floro,61.5996,5.0328,286.13,88,5,1.03,NO,2024-09-01
204,balta,47.9355,29.6198,295.36,46,100,5.39,UA,2024-09-01
205,battambang,13.1027,103.1982,297.62,96,100,2.19,KH,2024-09-01
206,tangalle,6.024,80.7911,299.78,83,65,5.53,LK,2024-09-01
207,port douglas,-16.4833,145.4667,295.85,73,69,4.22,AU,2024-09-01
208,vung tau,10.346,107.0843,297.65,90,100,1.18,VN,2024-09-01
209,thompson,55.7435,-97.8558,292.24,48,75,3.6,CA,2024-09-01
210,buala,-8.145,159.5921,300.32,82,80,4.5,SB,2024-09-01
211,weno,7.4515,151.8468,301.12,94,100,5.66,FM,2024-09-01
212,lihue,21.9789,-159.3672,301.92,74,75,4.63,US,2024-09-01
213,sandnessjoen,66.0217,12.6316,284.21,93,20,0.0,NO,2024-09-01
214,axams,47.2081,11.2869,287.62,81,100,2.57,AT,2024-09-01
215,lodeynoye pole,60.726,33.5531,284.42,86,83,1.89,RU,2024-09-01
216,pitea,65.3172,21.4794,286.81,97,100,2.94,SE,2024-09-01
217,muynoq,43.7683,59.0214,293.25,54,0,8.13,UZ,2024-09-01
218,dakhla,23.6848,-15.958,293.11,88,0,8.29,EH,2024-09-01
219,hafar al-batin,28.4328,45.9708,306.47,18,0,3.09,SA,2024-09-01
220,bafq,31.6128,55.4107,298.8,12,0,2.91,IR,2024-09-01
221,lensk,60.7253,114.9278,282.1,98,30,2.01,RU,2024-09-01
222,tarawa,1.419,172.984,302.2,79,75,5.14,KI,2024-09-01
223,balykshi,47.0667,51.8667,295.15,26,0,8.0,KZ,2024-09-01
224,acapulco de juarez,16.8634,-99.8901,304.05,70,75,3.09,MX,2024-09-01
225,tughyl,47.7252,84.2063,287.96,60,3,3.36,KZ,2024-09-01
226,hasaki,35.7333,140.8333,300.14,87,50,8.84,JP,2024-09-01
227,guerrero negro,27.9769,-114.0611,297.14,64,10,8.16,MX,2024-09-01
228,kyaikkami,16.08,97.5675,299.88,83,100,2.59,MM,2024-09-01
229,plainview,40.7765,-73.4673,300.1,83,75,4.63,US,2024-09-01
230,saint-philippe,-21.3585,55.7679,293.76,80,42,5.33,RE,2024-09-01
231,roses,42.262,3.1769,296.56,78,97,1.79,ES,2024-09-01
232,hengchun,22.0042,120.7439,301.43,79,98,2.72,TW,2024-09-01
233,gallup,35.5281,-108.7426,302.06,20,0,6.36,US,2024-09-01
234,burao,9.5221,45.5336,297.32,51,3,9.18,SO,2024-09-01
235,labuan,5.2767,115.2417,299.35,94,20,0.51,MY,2024-09-01
236,sa'dah,16.9402,43.7639,296.2,52,75,1.16,YE,2024-09-01
237,retreat,38.8245,-85.8533,306.13,25,0,4.32,US,2024-09-01
238,port alfred,-33.5906,26.891,287.69,89,81,0.45,ZA,2024-09-01
239,grinnell,41.743,-92.7224,298.14,33,0,3.09,US,2024-09-01
240,hirara,24.8,125.2833,297.3,100,0,0.51,JP,2024-09-01
241,nguigmi,14.2495,13.1092,303.61,56,100,4.83,NE,2024-09-01
242,yuma,32.7253,-114.6244,316.61,16,0,3.92,US,2024-09-01
243,fort st. john,56.2499,-120.8529,299.09,36,20,4.12,CA,2024-09-01
244,namtsy,62.7161,129.6658,283.85,59,100,5.62,RU,2024-09-01
245,lagunas,-5.2269,-75.6753,305.91,43,34,5.41,PE,2024-09-01
246,vegreville,53.5001,-112.0518,301.32,39,7,4.63,CA,2024-09-01
247,tazacorte,28.629,-17.9293,295.69,88,20,7.2,ES,2024-09-01
248,puerto colombia,10.9878,-74.9547,302.59,74,100,5.47,CO,2024-09-01
249,port saint john's,-31.6229,29.5448,291.97,78,99,3.71,ZA,2024-09-01
250,kathmandu,27.7167,85.3167,293.27,100,75,0.0,NP,2024-09-01
251,dudinka,69.4058,86.1778,279.26,72,95,1.7,RU,2024-09-01
252,kuching,1.55,110.3333,299.81,97,40,0.89,MY,2024-09-01
253,ilo,-17.6394,-71.3375,288.4,86,24,2.76,PE,2024-09-01
254,carbonear,47.7332,-53.2148,294.95,77,30,5.31,CA,2024-09-01
255,lautoka,-17.6167,177.4667,297.07,69,20,4.63,FJ,2024-09-01
256,tura,25.5198,90.2201,296.89,92,47,1.13,IN,2024-09-01
257,grantsville,40.5999,-112.4644,306.79,17,0,3.58,US,2024-09-01
